backend,multiplier,ped_rate,veh_rate,controller,seed,veh_completion_ratio,vehicle_throughput_per_hour,mean_vehicle_queue,vehicle_stop_time_mean_s,vehicle_stopped_wait_max_s,pedestrian_wait_max_s,ped_service_ratio,max_norm_wait,emergency_stops,collisions
sumo,2.5,0.375,1.1,efficiency,303,0.5171717171717171,2048.0,44.16111111111111,75.576171875,37.0,74,1.0222222222222221,0.74,0,0
sumo,2.5,0.375,1.1,efpb,301,0.49090909090909085,1944.0,47.73444444444444,86.09465020576131,55.0,62,1.0666666666666667,0.62,0,0
sumo,2.5,0.375,1.1,efpb,302,0.49090909090909085,1944.0,45.87222222222222,88.34979423868313,69.0,66,1.0074074074074073,0.69,0,0
sumo,2.5,0.375,1.1,efpb,303,0.4757575757575757,1884.0,45.041111111111114,86.69851380042464,55.0,58,1.04,0.58,0,0
sumo,3.0,0.44999999999999996,1.32,fixed_time,301,0.4722222222222222,2244.0,40.175555555555555,68.2566844919786,39.0,470,0.6148148148148149,4.7,0,0
sumo,3.0,0.44999999999999996,1.32,fixed_time,302,0.47895622895622897,2276.0,39.617777777777775,65.9402460456942,38.0,454,0.6148148148148149,4.54,0,0
sumo,3.0,0.44999999999999996,1.32,fixed_time,303,0.48569023569023567,2308.0,39.49777777777778,63.994800693240904,28.0,502,0.6148148148148149,5.02,0,0
sumo,3.0,0.44999999999999996,1.32,efficiency,301,0.3813131313131313,1812.0,47.86222222222222,97.719646799117,62.0,71,0.9950617283950619,0.71,0,0
sumo,3.0,0.44999999999999996,1.32,efficiency,302,0.4015151515151515,1908.0,46.24,91.14465408805032,67.0,66,0.9753086419753088,0.67,0,0
sumo,3.0,0.44999999999999996,1.32,efpb,302,0.37037037037037035,1760.0,44.89666666666667,105.66136363636363,55.0,64,0.9481481481481483,0.64,0,0
sumo,3.0,0.44999999999999996,1.32,efficiency,303,0.0,0.0,79.0,0.0,1078.0,59,1.0246913580246915,10.78,0,0
sumo,3.0,0.44999999999999996,1.32,efpb,303,0.37373737373737376,1776.0,50.76111111111111,104.75675675675676,55.0,66,0.9901234567901236,0.66,0,0
sumo,3.0,0.44999999999999996,1.32,efpb,301,0.0,0.0,77.0,0.0,1073.0,53,0.9851851851851853,10.73,0,0
