backend,multiplier,ped_rate,veh_rate,controller,seed,ped_service_ratio,veh_service_ratio,max_norm_wait,ped_p95_wait_s,veh_p95_wait_s,veh_throughput_h,starvation_violations
surrogate,2.5,0.375,1.1,fixed_time,302,0.6783625730994152,0.7436932391523713,2.93,267.0,264.0,3120.0,886
surrogate,2.5,0.375,1.1,fixed_time,303,0.6666666666666666,0.7484848484848485,2.73,259.0,230.0,3120.0,936
surrogate,2.5,0.375,1.1,fixed_time,304,0.6774193548387096,0.7379518072289156,2.8,250.0,250.0,3120.0,876
surrogate,2.5,0.375,1.1,fixed_time,305,0.6647727272727273,0.7401812688821753,2.96,282.0,245.0,3120.0,950
surrogate,2.5,0.375,1.1,efficiency,301,0.9411764705882353,0.6220633299284984,6.8,68.0,562.0,2608.0,399
surrogate,2.5,0.375,1.1,efficiency,302,0.9327485380116959,0.627648839556004,6.07,67.0,554.0,2624.0,445
surrogate,2.5,0.375,1.1,efficiency,303,0.9367816091954023,0.6414141414141414,6.54,67.0,555.0,2668.0,420
surrogate,2.5,0.375,1.1,efficiency,304,0.9413489736070382,0.6315261044176707,6.19,68.0,546.0,2664.0,428
surrogate,2.5,0.375,1.1,efficiency,305,0.9460227272727273,0.6394763343403826,6.55,65.0,571.0,2688.0,432
surrogate,2.5,0.375,1.1,equal_bargaining,301,0.0,0.965270684371808,9.0,840.0,45.0,3856.0,310
surrogate,2.5,0.375,1.1,equal_bargaining,302,0.0,0.9667003027245207,8.97,865.0,56.0,3928.0,303
surrogate,2.5,0.375,1.1,equal_bargaining,303,0.0,0.9666666666666667,8.99,850.0,43.0,3932.0,305
surrogate,2.5,0.375,1.1,equal_bargaining,304,0.0,0.964859437751004,9.0,851.0,53.0,3920.0,290
surrogate,2.5,0.375,1.1,equal_bargaining,305,0.0,0.9778449144008057,8.99,853.0,41.0,3960.0,309
surrogate,2.5,0.375,1.1,efpb,301,0.9439775910364145,0.6210418794688458,6.66,51.0,572.0,2628.0,409
surrogate,2.5,0.375,1.1,efpb,302,0.9473684210526315,0.6215943491422805,6.11,55.0,555.0,2636.0,450
surrogate,2.5,0.375,1.1,efpb,303,0.9482758620689655,0.6232323232323232,6.84,51.0,589.0,2600.0,423
surrogate,2.5,0.375,1.1,efpb,304,0.9325513196480938,0.6295180722891566,6.2,53.0,566.0,2700.0,434
surrogate,2.5,0.375,1.1,efpb,305,0.9545454545454546,0.6263846928499497,6.66,53.0,580.0,2656.0,414
surrogate,3.0,0.44999999999999996,1.32,fixed_time,301,0.5452322738386308,0.5981465880370682,3.98,385.0,344.0,3120.0,1327
surrogate,3.0,0.44999999999999996,1.32,fixed_time,302,0.5530864197530864,0.589018302828619,4.07,384.0,356.0,3120.0,1348
surrogate,3.0,0.44999999999999996,1.32,fixed_time,303,0.5474452554744526,0.5996649916247906,4.12,381.0,374.0,3120.0,1323
surrogate,3.0,0.44999999999999996,1.32,fixed_time,304,0.5655526992287918,0.6065012831479898,4.23,392.0,372.0,3120.0,1286
surrogate,3.0,0.44999999999999996,1.32,fixed_time,305,0.5739348370927319,0.5913978494623656,3.96,350.0,354.0,3120.0,1329
surrogate,3.0,0.44999999999999996,1.32,efficiency,301,0.9437652811735942,0.4692502106149958,8.99,55.0,813.0,2404.0,530
surrogate,3.0,0.44999999999999996,1.32,efficiency,302,0.9407407407407408,0.45757071547420963,9.0,58.0,808.0,2448.0,547
surrogate,3.0,0.44999999999999996,1.32,efficiency,303,0.9562043795620438,0.4631490787269682,8.97,54.0,812.0,2380.0,631
