config_id,controller,scenario_id,seed,person_delay_s,max_norm_wait,starvation_violations,ped_mean_wait_s,veh_mean_wait_s,phase_switches,clearance_share
efpb__001,efpb,K_SS,303,21.192842323651455,0.85,0.0,32.7,17.98793103448276,68.0,0.2111111111111111
efpb__002,efpb,K_SS,303,21.116493775933613,0.85,0.0,32.48571428571429,17.95,68.0,0.21
efpb__003,efpb,K_SS,303,21.116493775933613,0.85,0.0,32.48571428571429,17.95,68.0,0.21
efpb__004,efpb,K_SS,303,17.768153526970956,0.54,0.0,24.766666666666666,15.818965517241379,72.0,0.20666666666666667
efpb__005,efpb,K_SS,303,17.768153526970956,0.54,0.0,24.766666666666666,15.818965517241379,72.0,0.20666666666666667
efpb__006,efpb,K_SS,303,15.519917012448133,0.47,0.0,14.885714285714286,15.696551724137931,82.0,0.19111111111111112
efpb__007,efpb,K_SS,303,17.768153526970956,0.54,0.0,24.766666666666666,15.818965517241379,72.0,0.20666666666666667
efpb__008,efpb,K_SS,303,33.735684647302904,2.34,71.0,82.1,20.26551724137931,76.0,0.1988888888888889
efpb__009,efpb,K_SS,303,33.735684647302904,2.34,71.0,82.1,20.26551724137931,76.0,0.1988888888888889
efpb__010,efpb,K_SS,303,21.192842323651455,0.85,0.0,32.7,17.98793103448276,68.0,0.2111111111111111
efpb__011,efpb,K_SS,303,33.735684647302904,2.34,71.0,82.1,20.26551724137931,76.0,0.1988888888888889
efpb__012,efpb,K_SS,303,21.192842323651455,0.85,0.0,32.7,17.98793103448276,68.0,0.2111111111111111
efpb__013,efpb,K_SS,303,17.768153526970956,0.54,0.0,24.766666666666666,15.818965517241379,72.0,0.20666666666666667
efpb__014,efpb,K_SS,303,15.519917012448133,0.47,0.0,14.885714285714286,15.696551724137931,82.0,0.19111111111111112
efpb__015,efpb,K_SS,303,21.116493775933613,0.85,0.0,32.48571428571429,17.95,68.0,0.21
efpb__016,efpb,K_SS,303,17.768153526970956,0.54,0.0,24.766666666666666,15.818965517241379,72.0,0.20666666666666667
efpb__017,efpb,K_SS,303,33.735684647302904,2.34,71.0,82.1,20.26551724137931,76.0,0.1988888888888889
efpb__018,efpb,K_SS,303,33.735684647302904,2.34,71.0,82.1,20.26551724137931,76.0,0.1988888888888889
efpb__019,efpb,K_SS,303,21.192842323651455,0.85,0.0,32.7,17.98793103448276,68.0,0.2111111111111111
efpb__020,efpb,K_SS,303,21.192842323651455,0.85,0.0,32.7,17.98793103448276,68.0,0.2111111111111111
efpb__021,efpb,K_SS,303,21.116493775933613,0.85,0.0,32.48571428571429,17.95,68.0,0.21
efpb__022,efpb,K_SS,303,21.116493775933613,0.85,0.0,32.48571428571429,17.95,68.0,0.21
efpb__023,efpb,K_SS,303,15.519917012448133,0.47,0.0,14.885714285714286,15.696551724137931,82.0,0.19111111111111112
efpb__024,efpb,K_SS,303,32.38796680497925,3.29,89.0,100.20476190476191,13.5,79.0,0.2222222222222222
efpb__025,efpb,K_SS,303,21.192842323651455,0.85,0.0,32.7,17.98793103448276,68.0,0.2111111111111111
efpb__026,efpb,K_SS,303,17.82697095435685,0.54,0.0,25.785714285714285,15.610344827586207,72.0,0.2088888888888889
efpb__027,efpb,K_SS,303,17.82697095435685,0.54,0.0,25.785714285714285,15.610344827586207,72.0,0.2088888888888889
efpb__028,efpb,K_SS,303,21.116493775933613,0.85,0.0,32.48571428571429,17.95,68.0,0.21
efpb__029,efpb,K_SS,303,17.82697095435685,0.54,0.0,25.785714285714285,15.610344827586207,72.0,0.2088888888888889
efpb__000,efpb,K_SS,304,19.566772026866854,0.56,0.0,25.8133971291866,17.941747572815533,73.0,0.20333333333333334
