backend,controller,experiment_id,jain,mean_wait_disparity,ped_max_wait_s,ped_mean_wait_s,ped_p95_wait_s,ped_service_ratio,ped_throughput_h,phase_switches,requested_p,requested_v,run_id,safety_violations,scenario_id,seed,served_p,served_v,starvation_violations,tail_wait_disparity,veh_max_wait_s,veh_mean_wait_s,veh_p95_wait_s,veh_service_ratio,veh_throughput_h,wall_time_s
surrogate,efficiency,ablations,0.9999983143919835,0.012482751623376614,34.0,7.571428571428571,20.0,0.9959919839679359,497.0,416,499,1410,ablations__A4_static_weights__efficiency__3008,0,A4_static_weights,3008,497,1408,0,0.010000000000000009,44.0,6.323153409090909,19.0,0.9985815602836879,1408.0,0.987251804999687
surrogate,efficiency,ablations,0.9999994941413987,0.013488150223366413,40.0,7.782978723404256,23.0,1.0,470.0,418,470,1407,ablations__A4_static_weights__efficiency__3009,0,A4_static_weights,3009,470,1405,0,0.04000000000000001,53.0,6.434163701067615,19.0,0.9985785358919688,1405.0,0.8372061419995589
surrogate,efficiency,ablations,0.9999969627706141,0.011700140900776188,41.0,7.4402654867256635,20.0,1.0,452.0,419,452,1437,ablations__A4_static_weights__efficiency__3010,0,A4_static_weights,3010,452,1432,0,0.010000000000000009,40.0,6.270251396648045,19.0,0.9965205288796103,1432.0,0.8446584319999602
surrogate,efpb,ablations,0.9999952327604702,0.02774964253573501,49.0,8.87308533916849,24.0,0.9956427015250545,457.0,415,459,1437,ablations__A4_static_weights__efpb__3001,0,A4_static_weights,3001,457,1437,0,0.04999999999999999,38.0,6.09812108559499,19.0,1.0,1437.0,25.671537689000616
surrogate,efpb,ablations,0.9999994984313438,0.022573857174750495,39.0,8.103594080338267,22.0,1.0,473.0,415,473,1413,ablations__A4_static_weights__efpb__3002,0,A4_static_weights,3002,473,1411,0,0.03,41.0,5.8462083628632175,19.0,0.9985845718329794,1411.0,26.242047421999814
surrogate,efpb,ablations,0.999999408032119,0.031096366939146226,43.0,9.126666666666667,28.0,0.9977827050997783,450.0,414,451,1469,ablations__A4_static_weights__efpb__3003,0,A4_static_weights,3003,450,1468,0,0.09000000000000002,42.0,6.017029972752043,19.0,0.9993192648059904,1468.0,43.04385491799985
surrogate,efpb,ablations,0.9999998005736892,0.03180045810136832,39.0,9.056947608200456,27.0,0.9977272727272727,439.0,415,440,1448,ablations__A4_static_weights__efpb__3004,0,A4_static_weights,3004,439,1446,0,0.09000000000000002,35.0,5.876901798063624,18.0,0.9986187845303868,1446.0,44.05086539399963
surrogate,efpb,ablations,0.9999993911889988,0.029578493724522203,50.0,8.779510022271715,25.0,0.9955654101995566,449.0,415,451,1389,ablations__A4_static_weights__efpb__3005,0,A4_static_weights,3005,449,1385,0,0.06,31.0,5.821660649819495,19.0,0.9971202303815695,1385.0,36.592905366000195
surrogate,efpb,ablations,0.9999688689228315,0.023330756137322592,41.0,8.50210970464135,24.0,0.9875,474.0,415,480,1410,ablations__A4_static_weights__efpb__3006,0,A4_static_weights,3006,474,1408,0,0.04999999999999999,31.0,6.169034090909091,19.0,0.9985815602836879,1408.0,38.625487548999445
surrogate,efpb,ablations,0.9999953685716416,0.0230941768511862,36.0,8.169230769230769,24.0,1.0,455.0,415,455,1397,ablations__A4_static_weights__efpb__3007,0,A4_static_weights,3007,455,1391,0,0.06,37.0,5.859813084112149,18.0,0.9957050823192556,1391.0,31.33715753999968
surrogate,efpb,ablations,0.9999983143919835,0.025095716343515637,48.0,8.138832997987928,22.0,0.9959919839679359,497.0,412,499,1410,ablations__A4_static_weights__efpb__3008,0,A4_static_weights,3008,497,1408,0,0.04000000000000001,32.0,5.629261363636363,18.0,0.9985815602836879,1408.0,32.13713583899971
surrogate,efpb,ablations,0.9999994941413987,0.03331748315287348,39.0,9.37872340425532,24.0,1.0,470.0,416,470,1407,ablations__A4_static_weights__efpb__3009,0,A4_static_weights,3009,470,1405,0,0.04999999999999999,31.0,6.046975088967971,19.0,0.9985785358919688,1405.0,26.09117539500039
surrogate,efpb,ablations,0.9999956233450773,0.023088161629654366,45.0,8.252212389380531,23.0,1.0,452.0,415,452,1437,ablations__A4_static_weights__efpb__3010,0,A4_static_weights,3010,452,1431,0,0.04000000000000001,32.0,5.943396226415095,19.0,0.9958246346555324,1431.0,27.037576551999337
surrogate,efficiency,ablations,0.9999952327604702,0.015290044753460047,39.0,7.8512035010940915,21.0,0.9956427015250545,457.0,418,459,1437,ablations__A5_weighted_sum__efficiency__3001,0,A5_weighted_sum,3001,457,1437,0,0.01999999999999999,54.0,6.322199025748087,19.0,1.0,1437.0,1.096010465999825
surrogate,efficiency,ablations,0.9999979908836346,0.017539466162107983,63.0,7.86892177589852,20.0,1.0,473.0,417,473,1413,ablations__A5_weighted_sum__efficiency__3002,0,A5_weighted_sum,3002,473,1409,0,0.010000000000000009,40.0,6.114975159687722,19.0,0.997169143665959,1409.0,1.094786128999658
