clearance_share,collisions,config_id,controller,emergency_stops,max_norm_wait,mean_vehicle_queue,pedestrian_wait_mean_s,person_delay_s,phase_switches,scenario_id,seed,vehicle_stop_time_mean_s,vehicle_stopped_wait_p95_s
0.28444444444444444,0.0,equal_bargaining__008,equal_bargaining,0.0,8.97,13.61888888888889,448.6539923954373,111.41901178010471,64.0,K_OO,305,18.97289972899729,12.0
0.25,0.0,equal_bargaining__008,equal_bargaining,0.0,6.19,16.34111111111111,237.42410714285714,73.1619572708477,60.0,K_SS,301,26.686371100164205,40.0
0.24666666666666667,0.0,equal_bargaining__008,equal_bargaining,0.0,4.49,18.54,162.13824884792626,58.598339335734295,58.0,K_SS,302,29.888704318936878,78.0
0.21333333333333335,0.0,equal_bargaining__008,equal_bargaining,0.0,3.88,23.756666666666668,136.44,62.94007295466389,53.0,K_SS,303,40.424778761061944,121.0
0.2311111111111111,0.0,equal_bargaining__008,equal_bargaining,0.0,3.6,19.43777777777778,136.71782178217822,53.40201729106628,57.0,K_SS,304,31.533783783783782,84.0
0.23222222222222222,0.0,equal_bargaining__008,equal_bargaining,0.0,3.68,14.645555555555555,114.5204081632653,42.088800326997756,60.0,K_SS,305,23.948504983388705,32.0
0.16666666666666666,0.0,equal_bargaining__008,equal_bargaining,0.0,0.36,4.243333333333333,8.0,9.84079236977256,75.0,K_XX,301,10.382716049382717,22.0
0.1811111111111111,0.0,equal_bargaining__008,equal_bargaining,0.0,0.44,4.387777777777778,9.474025974025974,10.530609234400353,72.0,K_XX,302,10.841191066997519,23.0
0.17444444444444446,0.0,equal_bargaining__008,equal_bargaining,0.0,0.39,4.271111111111111,8.587837837837839,9.954538767103134,73.0,K_XX,303,10.334963325183374,22.0
0.17666666666666667,0.0,equal_bargaining__008,equal_bargaining,0.0,0.32,4.071111111111111,7.315789473684211,9.48247329622386,74.0,K_XX,304,10.02444987775061,19.0
0.17888888888888888,0.0,equal_bargaining__008,equal_bargaining,0.0,0.51,3.78,8.8203125,9.107654772796584,74.0,K_XX,305,9.177339901477833,21.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.35,3.0677777777777777,14.470588235294118,10.878713339640491,60.0,K_HH,301,9.834920634920636,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.37,3.0955555555555554,16.153153153153152,11.345531587057009,60.0,K_HH,302,10.038216560509554,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.35,3.1777777777777776,16.81896551724138,11.747668886774502,60.0,K_HH,303,10.311111111111112,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.34,3.12,15.427184466019417,11.144,60.0,K_HH,304,10.066666666666666,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.34,3.0355555555555553,14.153846153846153,10.59054487179487,60.0,K_HH,305,9.796178343949045,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.35,0.9,14.470588235294118,11.870779491454773,60.0,K_HL,301,9.311827956989248,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.37,0.8322222222222222,16.153153153153152,12.251517779705114,60.0,K_HL,302,8.630434782608695,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.35,0.8988888888888888,16.81896551724138,13.009708737864079,60.0,K_HL,303,9.35483870967742,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.34,0.8111111111111111,15.427184466019417,11.654756587762394,60.0,K_HL,304,8.440860215053764,21.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.34,0.8622222222222222,14.153846153846153,11.17649834827749,60.0,K_HL,305,8.935483870967742,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.35,3.0677777777777777,13.838709677419354,10.116685584562996,60.0,K_LH,301,9.834920634920636,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.31,3.0955555555555554,10.966666666666667,10.101780009128252,60.0,K_LH,302,10.038216560509554,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.35,3.1777777777777776,16.296296296296298,10.681328751431845,60.0,K_LH,303,10.311111111111112,22.0
