clearance_share,collisions,collisions_total,config_id,controller,d_delay_se,d_delay_vs_default,d_maxwait_se,d_maxwait_vs_default,emergency_stops,emergency_stops_total,is_default,max_norm_wait,mean_vehicle_queue,pedestrian_wait_mean_s,person_delay_s,phase_switches,runs,vehicle_stop_time_mean_s,vehicle_stopped_wait_p95_s,worst_scenario_max_norm_wait,p:controller.debt_eta,p:controller.debt_kappa,p:controller.delta,p:controller.horizon_s,p:controller.switch_cost,p:signal.fixed_cycle_s,p:signal.fixed_timing,p:signal.service_duration_s
0.17987301587301588,0.0,0.0,efficiency__010,efficiency,0.20764603008686366,-0.07228890849306158,0.015089488959896166,-0.016857142857142852,0.0,0.0,False,0.48714285714285716,8.29488888888889,19.444250623318496,16.861347734230467,71.02857142857142,35,16.404863363432113,18.82857142857143,0.806,,,,60,0,,,25
0.17993650793650795,0.0,0.0,efficiency__011,efficiency,0.28382595059512666,0.4648603983853832,0.01748084185423497,0.006000000000000002,0.0,0.0,False,0.51,8.366317460317461,20.727677258676618,17.39849704110891,70.97142857142858,35,16.663052423568235,18.857142857142858,0.966,,,,60,0,,,35
0.18015873015873016,0.0,0.0,efficiency__012,efficiency,0.2353752056555411,0.19580192155259796,0.02085196205944878,0.003714285714285708,0.0,0.0,False,0.5077142857142857,9.363809523809524,16.39654475395955,17.12943856427613,69.2,35,17.812342541443993,23.37142857142857,0.9279999999999999,,,,60,5,,,15
0.18123809523809523,0.0,0.0,efficiency__013,efficiency,0.0,0.0,0.0,0.0,0.0,0.0,True,0.504,8.324126984126984,19.83067124605685,16.933636642723528,69.54285714285714,35,16.36152578019576,19.257142857142856,0.836,,,,60,5,,,25
0.18155555555555555,0.0,0.0,efficiency__014,efficiency,0.219112735103853,0.4771796924310566,0.009854402249628285,0.022000000000000002,0.0,0.0,False,0.526,8.380920634920635,21.23136589616898,17.410816335154585,69.54285714285714,35,16.50502980053626,19.2,0.99,,,,60,5,,,35
0.18015873015873016,0.0,0.0,efficiency__015,efficiency,0.2353752056555411,0.19580192155259796,0.02085196205944878,0.003714285714285708,0.0,0.0,False,0.5077142857142857,9.363809523809524,16.39654475395955,17.12943856427613,69.2,35,17.812342541443993,23.37142857142857,0.9279999999999999,,,,60,10,,,15
0.18123809523809523,0.0,0.0,efficiency__016,efficiency,0.0,0.0,0.0,0.0,0.0,0.0,False,0.504,8.324126984126984,19.83067124605685,16.933636642723528,69.54285714285714,35,16.36152578019576,19.257142857142856,0.836,,,,60,10,,,25
0.18155555555555555,0.0,0.0,efficiency__017,efficiency,0.219112735103853,0.4771796924310566,0.009854402249628285,0.022000000000000002,0.0,0.0,False,0.526,8.380920634920635,21.23136589616898,17.410816335154585,69.54285714285714,35,16.50502980053626,19.2,0.99,,,,60,10,,,35
0.1798095238095238,0.0,0.0,efficiency__018,efficiency,0.31921812165234614,0.4276765864039751,0.0253522601524585,-0.004285714285714289,0.0,0.0,False,0.4997142857142857,9.447015873015873,16.34429684755798,17.361313229127504,70.88571428571429,35,18.173053671754104,23.37142857142857,0.94,,,,90,0,,,15
0.17987301587301588,0.0,0.0,efficiency__019,efficiency,0.20764603008686366,-0.07228890849306158,0.015089488959896166,-0.016857142857142852,0.0,0.0,False,0.48714285714285716,8.29488888888889,19.444250623318496,16.861347734230467,71.02857142857142,35,16.404863363432113,18.82857142857143,0.806,,,,90,0,,,25
0.17993650793650795,0.0,0.0,efficiency__020,efficiency,0.28382595059512666,0.4648603983853832,0.01748084185423497,0.006000000000000002,0.0,0.0,False,0.51,8.366317460317461,20.727677258676618,17.39849704110891,70.97142857142858,35,16.663052423568235,18.857142857142858,0.966,,,,90,0,,,35
0.18015873015873016,0.0,0.0,efficiency__021,efficiency,0.2353752056555411,0.19580192155259796,0.02085196205944878,0.003714285714285708,0.0,0.0,False,0.5077142857142857,9.363809523809524,16.39654475395955,17.12943856427613,69.2,35,17.812342541443993,23.37142857142857,0.9279999999999999,,,,90,5,,,15
0.18123809523809523,0.0,0.0,efficiency__022,efficiency,0.0,0.0,0.0,0.0,0.0,0.0,False,0.504,8.324126984126984,19.83067124605685,16.933636642723528,69.54285714285714,35,16.36152578019576,19.257142857142856,0.836,,,,90,5,,,25
0.18155555555555555,0.0,0.0,efficiency__023,efficiency,0.219112735103853,0.4771796924310566,0.009854402249628285,0.022000000000000002,0.0,0.0,False,0.526,8.380920634920635,21.23136589616898,17.410816335154585,69.54285714285714,35,16.50502980053626,19.2,0.99,,,,90,5,,,35
0.18015873015873016,0.0,0.0,efficiency__024,efficiency,0.2353752056555411,0.19580192155259796,0.02085196205944878,0.003714285714285708,0.0,0.0,False,0.5077142857142857,9.363809523809524,16.39654475395955,17.12943856427613,69.2,35,17.812342541443993,23.37142857142857,0.9279999999999999,,,,90,10,,,15
0.18123809523809523,0.0,0.0,efficiency__025,efficiency,0.0,0.0,0.0,0.0,0.0,0.0,False,0.504,8.324126984126984,19.83067124605685,16.933636642723528,69.54285714285714,35,16.36152578019576,19.257142857142856,0.836,,,,90,10,,,25
0.18155555555555555,0.0,0.0,efficiency__026,efficiency,0.219112735103853,0.4771796924310566,0.009854402249628285,0.022000000000000002,0.0,0.0,False,0.526,8.380920634920635,21.23136589616898,17.410816335154585,69.54285714285714,35,16.50502980053626,19.2,0.99,,,,90,10,,,35
0.18457142857142858,0.0,0.0,efpb__000,efpb,0.0,0.0,0.0,0.0,0.0,0.0,True,0.4225714285714286,9.292761904761905,14.794415830876202,16.844341186037358,65.54285714285714,35,17.98235960992337,21.62857142857143,0.558,1.0,2.0,0.05,60,,,,25
0.18079365079365078,0.0,0.0,efpb__001,efpb,7.814736258114627,9.111791743620564,0.2742791753422242,0.35057142857142853,0.0,0.0,False,0.7731428571428571,10.972539682539683,19.02199800118557,25.95613292965792,63.94285714285714,35,45.301414655921796,50.34285714285714,2.718,1,4,0.2,30,,,,15
0.18168253968253967,0.0,0.0,efpb__002,efpb,7.822370355259227,8.715929511334021,0.274162375980661,0.352,0.0,0.0,False,0.7745714285714286,10.674031746031746,18.73993548549766,25.56027069737138,64.31428571428572,35,44.78207191999993,50.34285714285714,2.7319999999999998,2,2,0,30,,,,15
0.18523809523809523,0.0,0.0,efpb__003,efpb,0.4289485723837838,1.21183826663557,0.02394702035564269,0.08228571428571427,0.0,0.0,False,0.5048571428571429,9.46704761904762,18.002170999558317,18.05617945267293,64.4,35,18.501247363527924,24.085714285714285,0.844,1.0,0,0.05,30,,,,25
0.18444444444444444,0.0,0.0,efpb__004,efpb,0.2479455039890105,-0.1709947661749503,0.011834594333952462,-0.007428571428571428,0.0,0.0,False,0.41514285714285715,9.269111111111112,14.45251700056451,16.67334641986241,65.68571428571428,35,17.834464216310483,21.514285714285712,0.566,1,2,0.2,60,,,,25
0.18358730158730158,0.0,0.0,efpb__005,efpb,0.1581644841912287,-0.1755021789307337,0.00876202654890394,-0.0019999999999999987,0.0,0.0,False,0.4205714285714286,9.161111111111111,14.623890326968343,16.668839007106623,65.71428571428572,35,17.754753312154566,21.914285714285715,0.5660000000000001,2,2,0.1,60,,,,35
0.17955555555555555,0.0,0.0,efpb__006,efpb,0.42908074244130345,-0.8413241182261229,0.018684465304029417,-0.074,0.0,0.0,False,0.3485714285714286,8.846698412698412,12.617108853559545,16.003017067811236,69.88571428571429,35,17.370781206503917,19.114285714285714,0.562,2,2,0.05,90,,,,35
0.18438095238095237,0.0,0.0,efpb__007,efpb,0.24066469212878014,0.10469352650781717,0.010785477764672499,-0.001428571428571425,0.0,0.0,False,0.42114285714285715,9.407746031746031,14.602721157268634,16.949034712545174,65.48571428571428,35,18.193698691164606,21.742857142857144,0.5660000000000001,1,4,0.2,60,,,,35
0.18123809523809525,0.0,0.0,efpb__008,efpb,15.811102527339319,22.21612005001283,0.33572546378672846,0.9334285714285715,0.0,0.0,False,1.356,10.010063492063491,55.9834934969759,39.06046123605019,65.37142857142857,35,41.81838123618184,50.77142857142857,5.162,1,4,0,90,,,,15
0.18136507936507937,0.0,0.0,efpb__009,efpb,15.813122613440598,22.167921001945302,0.33594866125823525,0.9305714285714286,0.0,0.0,False,1.3531428571428572,9.995809523809523,55.91682069395053,39.01226218798266,65.48571428571428,35,41.75053817725059,50.8,5.162,2,2,0.05,90,,,,15
0.18561904761904763,0.0,0.0,efpb__010,efpb,0.4532899493140081,1.2404631109359177,0.022141962573417943,0.0977142857142857,0.0,0.0,False,0.5202857142857142,9.56168253968254,18.23741049053982,18.084804296973275,64.17142857142858,35,18.556983133578033,24.085714285714285,0.836,1,4,0.1,30,,,,35
0.18114285714285713,0.0,0.0,efpb__011,efpb,15.81304247802422,22.169751878017546,0.33594866125823525,0.9305714285714286,0.0,0.0,False,1.3531428571428572,9.997492063492063,55.901694643530355,39.014093064054904,65.48571428571428,35,41.76827521029305,50.74285714285714,5.162,2,4,0,90,,,,15
0.18511111111111112,0.0,0.0,efpb__012,efpb,0.4494520507166121,1.253948906292952,0.02284011971131874,0.09057142857142857,0.0,0.0,False,0.5131428571428571,9.568095238095239,18.16717165818273,18.09829009233031,64.25714285714285,35,18.58488217508037,24.114285714285714,0.836,1,2,0.1,30,,,,35
0.18365079365079365,0.0,0.0,efpb__013,efpb,0.13409998373201668,-0.21205257100582517,0.008684685918776979,-0.0031428571428571426,0.0,0.0,False,0.41942857142857143,9.18831746031746,14.517652908131927,16.63228861503153,65.71428571428572,35,17.73678653777417,21.82857142857143,0.562,2,2,0.1,60,,,,25
0.1793968253968254,0.0,0.0,efpb__014,efpb,0.42914026296784846,-0.8566855961287021,0.01897872695495492,-0.07142857142857142,0.0,0.0,False,0.35114285714285715,8.855015873015873,12.48225596331329,15.987655589908655,69.97142857142858,35,17.385366987813153,18.97142857142857,0.562,1.0,0,0.2,90,,,,35
