backend,group,scenario,controller,seed,person_delay_s,max_norm_wait,ped_mean_wait_s,veh_mean_wait_s,starvation_violations,ped_service_ratio,veh_service_ratio,jain
surrogate,nominal,C_LL,efpb,1030,8.109919571045577,0.4,8.612612612612613,7.9855072463768115,0,1.0,0.9971014492753624,0.9999978935039876
surrogate,nominal,C_LL,efpb,1016,7.781727574750831,0.52,7.429752066115703,7.870270270270271,0,1.0,0.9972972972972973,0.9999981689073137
surrogate,nominal,C_LL,efpb,1005,7.176577891280554,0.4,6.868421052631579,7.25748502994012,0,1.0,1.0,1.0
surrogate,nominal,C_LL,efpb,1020,7.812241379310345,0.38,6.9393939393939394,7.991891891891892,0,1.0,1.0,1.0
surrogate,nominal,C_LL,efpb,1025,7.555780590717299,0.41,7.0285714285714285,7.669333333333333,0,1.0,0.9973333333333333,0.9999982174751604
surrogate,nominal,C_LL,efpb,1014,8.418862690707352,0.54,9.336633663366337,8.224043715846994,0,1.0,0.9890710382513661,0.9999698113207547
surrogate,nominal,C_LL,efpb,1018,7.759943432914972,0.44,7.704,7.775811209439528,0,1.0,1.0,1.0
surrogate,nominal,C_LL,efpb,1003,6.832136445242369,0.33,6.784313725490196,6.8428571428571425,0,1.0,0.9971428571428571,0.9999979533444397
surrogate,nominal,C_LL,efpb,1021,7.415698697641676,0.4,7.333333333333333,7.435028248587571,0,1.0,0.9971751412429378,0.9999979993998198
surrogate,nominal,C_LL,efpb,1008,7.642679900744416,0.48,7.586538461538462,7.655367231638418,0,0.9903846153846154,1.0,0.9999766627771295
surrogate,nominal,C_LL,efpb,1002,7.266479663394107,0.36,7.20952380952381,7.279329608938547,0,0.9904761904761905,0.9972067039106145,0.9999885343887956
surrogate,nominal,C_LL,efpb,1010,7.60461114934618,0.39,7.5092592592592595,7.626373626373627,0,0.9814814814814815,0.9972527472527473,0.9999364770615667
surrogate,nominal,C_LL,efpb,1023,7.494131010980689,0.43,7.4953271028037385,7.493827160493828,0,0.9906542056074766,1.0,0.9999779590037469
surrogate,nominal,C_LL,efpb,1009,7.286813571178733,0.51,7.5504587155963305,7.224719101123595,0,0.9908256880733946,1.0,0.9999787640688044
surrogate,nominal,C_LL,efpb,1028,6.909573585531772,0.39,7.029411764705882,6.874651810584958,0,0.9926470588235294,1.0,0.999986383813077
surrogate,nominal,C_LL,efpb,1007,7.652287809989521,0.41,8.043478260869565,7.5539772727272725,0,1.0,1.0,1.0
surrogate,nominal,C_LM,efficiency,1006,10.2835255789381,0.77,14.203252032520325,9.807445442875482,0,0.991869918699187,0.9961489088575096,0.9999953672424011
