backend,group,scenario,controller,seed,person_delay_s,max_norm_wait,ped_mean_wait_s,veh_mean_wait_s,collisions,emergency_stops,ped_unserved,veh_unfinished
SUMO,nominal,C_HH,equal_bargaining,4006,9.181900498012979,0.45,6.758441558441558,9.763990267639903,0,0,2,5
SUMO,nominal,C_LH,efficiency,4010,6.258034193055638,0.59,12.36448598130841,5.84841075794621,0,0,0,2
SUMO,stress,T_OO,efpb,4010,58.69689205462605,0.57,28.66269477543538,70.34997688395747,0,0,10,80
SUMO,nominal,C_ML,fixed_time,4010,8.902161862527716,0.27,11.9402390438247,7.281767955801105,0,0,1,0
SUMO,nominal,C_LH,equal_bargaining,4003,7.459322330436811,0.52,6.3760683760683765,7.538649308380798,0,0,0,6
SUMO,nominal,C_ML,efpb,4001,4.155143338954469,0.45,4.360995850622406,4.0497237569060776,0,0,0,1
SUMO,nominal,C_LM,equal_bargaining,4002,5.145436841639373,0.27,6.076923076923077,5.0638297872340425,0,0,0,9
SUMO,nominal,C_HM,equal_bargaining,4003,8.854925822109797,0.41,7.5,9.408010012515645,0,0,0,8
SUMO,nominal,C_LH,fixed_time,4004,8.252519264967397,0.27,9.738636363636363,8.170731707317072,0,0,0,5
SUMO,stress,T_OO,efficiency,4009,57.21242293766513,0.88,55.02587800369686,57.99956747404844,0,0,17,77
SUMO,nominal,C_LL,efficiency,4008,3.985655737704918,0.36,3.9043478260869566,4.005524861878453,0,0,0,0
SUMO,nominal,C_LH,fixed_time,4007,8.440133232045813,0.27,10.522522522522523,8.295694557270512,0,0,1,5
SUMO,stress,T_OO,equal_bargaining,4006,429.4573663073346,35.98,1834.694835680751,21.22553191489362,0,0,1065,45
SUMO,nominal,C_ML,efficiency,4003,5.058541777541246,0.41,5.064056939501779,5.05524861878453,0,0,0,0
SUMO,stress,T_OO,efpb,4007,59.74042046396023,0.65,28.11770072992701,72.2687969924812,0,0,15,59
SUMO,nominal,C_MH,equal_bargaining,4010,8.845543806646525,0.53,6.630952380952381,9.193993506493506,0,0,0,2
SUMO,nominal,C_LH,fixed_time,4010,8.459708140420794,0.27,11.00943396226415,8.290820471161657,0,0,0,5
SUMO,nominal,C_HL,fixed_time,4001,8.998194076571153,0.27,11.433333333333334,7.1353591160221,0,0,0,0
SUMO,stress,T_HS,equal_bargaining,4003,69.93465106897943,10.51,364.24413145539904,28.754910333048677,0,0,90,35
SUMO,nominal,C_LL,efpb,4002,3.654380341880342,0.35,4.967032967032967,3.4005524861878453,0,0,0,0
SUMO,nominal,C_LH,equal_bargaining,4010,7.194638352789347,0.46,6.869158878504673,7.216436126932465,0,0,0,5
SUMO,nominal,C_LL,efpb,4006,3.939752832131823,0.37,5.625,3.5386740331491713,0,0,0,0
SUMO,nominal,C_LL,efpb,4009,3.9665249734325183,0.37,5.638297872340425,3.632596685082873,0,0,0,0
SUMO,nominal,C_LL,efpb,4004,3.840494092373792,0.27,5.75,3.483425414364641,0,0,0,0
SUMO,nominal,C_LM,efpb,4004,5.080517164511814,0.4,8.079545454545455,4.825157232704402,0,0,0,2
SUMO,stress,T_SS,efficiency,4006,33.58971565530014,0.87,33.50061804697157,33.61489554950045,0,0,2,40
SUMO,nominal,C_LH,efficiency,4008,6.875357413783043,0.62,14.818965517241379,6.298616761594793,0,0,0,4
SUMO,nominal,C_LM,equal_bargaining,4001,5.776567944250871,0.45,7.055555555555555,5.64375,0,0,0,5
SUMO,nominal,C_MH,fixed_time,4003,8.700579386594375,0.27,11.441281138790035,8.219333874898457,0,0,0,5
SUMO,stress,T_HS,fixed_time,4001,36.97999935895381,0.38,11.433333333333334,40.312293923692884,0,0,0,46
SUMO,stress,T_OO,equal_bargaining,4004,422.4454799627213,36.0,1828.9019047619047,20.18484419263456,0,0,1050,43
SUMO,nominal,C_MH,equal_bargaining,4009,8.586253369272237,0.45,6.28125,8.955284552845528,0,0,1,6
SUMO,stress,T_HS,efpb,4004,26.954595137514403,0.57,27.977777777777778,26.832831972496777,0,0,3,34
SUMO,nominal,C_LH,equal_bargaining,4001,7.323724146012774,0.43,6.761467889908257,7.362082994304313,0,0,0,5
SUMO,nominal,C_HM,fixed_time,4010,8.940306834030684,0.27,12.616751269035532,7.5475,0,0,1,9
SUMO,nominal,C_ML,efficiency,4006,4.5826901874310915,0.33,4.607843137254902,4.569060773480663,0,0,1,1
SUMO,nominal,C_LL,fixed_time,4008,7.726092896174863,0.27,10.539130434782608,7.038674033149171,0,0,0,0
SUMO,nominal,C_LM,efficiency,4009,5.369667405764967,0.35,8.659574468085106,5.070440251572327,0,0,0,3
SUMO,nominal,C_MH,efficiency,4007,7.971040381076107,0.66,12.888446215139442,7.197882736156352,0,0,0,5
SUMO,nominal,C_LM,efficiency,4001,5.502999217595409,0.36,8.376146788990825,5.202247191011236,0,0,0,5
SUMO,nominal,C_HL,equal_bargaining,4006,4.588592800374007,0.34,5.267532467532468,4.033149171270718,0,0,0,0
SUMO,stress,T_OO,efpb,4004,58.96326813491452,0.63,28.54920337394564,70.43520220588235,0,0,17,62
SUMO,nominal,C_MM,equal_bargaining,4010,7.636687306501547,0.35,5.972222222222222,8.04,0,0,1,10
SUMO,nominal,C_MH,equal_bargaining,4008,8.4184263109575,0.44,6.25984251968504,8.76159479251424,0,0,0,4
SUMO,stress,T_OO,efficiency,4007,60.86886552737781,0.88,57.806306306306304,62.03939122649955,0,0,21,67
SUMO,stress,T_HS,equal_bargaining,4002,32.45516981569491,4.45,93.5935162094763,24.416453537936913,0,0,18,35
SUMO,nominal,C_LH,fixed_time,4009,8.43880685174247,0.26,9.638297872340425,8.36829268292683,0,0,0,5
SUMO,nominal,C_MM,equal_bargaining,4003,7.517892193869847,0.49,5.698581560283688,8.00997506234414,0,0,0,11
SUMO,stress,T_OO,efficiency,4010,443.2561896257813,40.13,58.5004500450045,3978.935483870968,0,0,18,93
SUMO,stress,T_HS,efficiency,4004,21.925058139534883,1.31,38.9025069637883,19.946835443037976,0,0,5,26
SUMO,nominal,C_HM,equal_bargaining,4004,7.933690987124463,0.45,7.410614525139665,8.11375,0,0,2,7
SUMO,nominal,C_LH,efpb,4001,7.034525277435265,0.53,16.86111111111111,6.36919315403423,0,0,0,5
SUMO,stress,T_SS,fixed_time,4005,36.279356916817356,0.39,14.497429305912597,42.416666666666664,0,0,0,49
SUMO,nominal,C_MH,equal_bargaining,4005,8.617958607202999,0.48,7.6344537815126055,8.763990267639903,0,0,0,9
SUMO,stress,T_OO,efpb,4002,60.80329766436876,0.6,28.748375116063137,73.08649398704902,0,0,11,60
SUMO,nominal,C_ML,equal_bargaining,4001,4.246486790331647,0.45,4.091286307053942,4.3259668508287294,0,0,0,1
SUMO,nominal,C_LH,equal_bargaining,4007,7.135410565772519,0.35,6.927927927927928,7.149837133550489,0,0,1,5
SUMO,stress,T_SH,equal_bargaining,4006,9.6519357649695,0.52,8.76084262701363,10.100567721005676,0,0,4,6
SUMO,nominal,C_MM,equal_bargaining,4004,7.066698277224593,0.45,5.785087719298246,7.348370927318296,0,0,2,9
SUMO,nominal,C_LM,equal_bargaining,4010,5.700078376730819,0.32,6.280373831775701,5.640449438202247,0,0,0,10
