backend,group,scenario,controller,runs,person_delay_s,max_norm_wait,ped_mean_wait_s,veh_mean_wait_s,starvation_violations,ped_service_ratio,veh_service_ratio
surrogate,nominal,C_LM,fixed_time,30,12.375874840523288,0.29033333333333333,10.267346216874103,12.594640014455774,0,0.9991355173256816,0.9972034556456763
surrogate,nominal,C_MH,efficiency,30,11.43275675098743,0.8266666666666667,16.389278199065057,10.666408722042993,0.1,0.9951175865731543,0.9973576477297016
surrogate,nominal,C_MH,efpb,30,11.560267512298516,0.557,18.308980600003597,10.514532684336972,0,0.9939017943970311,0.9974438674207844
surrogate,nominal,C_MH,equal_bargaining,30,11.993564962919084,0.6373333333333333,11.341522541359744,12.096364551010213,0,0.9972872915815207,0.9970267096995583
surrogate,nominal,C_MH,fixed_time,30,12.756335484377445,0.32566666666666666,10.78567105279114,13.064284381870213,0,0.9977323494377072,0.9969235690896744
surrogate,nominal,C_ML,efficiency,30,8.228929293983994,0.603,6.1885854585382045,9.354576277694155,0.03333333333333333,0.998428625850269,0.9980375872390718
surrogate,nominal,C_ML,efpb,30,8.100271635197709,0.434,7.012468931447169,8.701290636648988,0,0.9977400268402327,0.9982240853010569
surrogate,nominal,C_ML,equal_bargaining,30,8.056805000282132,0.5903333333333334,6.1258323655667635,9.121836004386283,0.03333333333333333,0.9981767227045838,0.9980357613839195
surrogate,nominal,C_ML,fixed_time,30,11.852269087541117,0.29,11.208015859678389,12.199128146528093,0,0.9983053550569193,0.9965298574601971
surrogate,nominal,C_MM,efficiency,30,10.577740732005234,0.6216666666666667,11.548544630132596,10.352236137999203,0,0.99587738204082,0.9973450026046758
surrogate,nominal,C_MM,efpb,30,10.604611827853587,0.5413333333333333,12.64911118181142,10.118076798383528,0,0.9967205090227685,0.9972703481271838
surrogate,nominal,C_MM,equal_bargaining,30,10.865781435180736,0.5703333333333334,8.126288017698993,11.52550995370412,0,0.9983644031041764,0.997107233470663
surrogate,nominal,C_MM,fixed_time,30,12.324760041072302,0.29066666666666663,10.976144114353641,12.642424460568673,0,0.9986886412268672,0.9970192893125988
surrogate,robustness,S10_low_demand,efficiency,10,7.464821679449745,0.517,6.778032059063469,7.6410612155186,0,0.9982204998418223,0.9976426484388394
surrogate,robustness,S10_low_demand,efpb,10,7.386505393513858,0.422,7.08445473904064,7.46733718602758,0,0.9973871665084889,0.9989116839718344
surrogate,robustness,S10_low_demand,equal_bargaining,10,7.591966037594325,0.513,5.768360854675809,8.044733838512725,0,0.9982204998418223,0.9971350342256414
surrogate,robustness,S10_low_demand,fixed_time,10,11.871068733739673,0.29,10.695410452174714,12.160427049859893,0,0.9963667583452236,0.9959613320268252
surrogate,robustness,S12_sensor_error,efficiency,10,12.326548461083007,0.299,11.13117117425598,12.613701497970572,0,0.9991739900538184,0.9969456077537651
surrogate,robustness,S12_sensor_error,efpb,10,12.326548461083007,0.299,11.13117117425598,12.613701497970572,0,0.9991739900538184,0.9969456077537651
surrogate,robustness,S12_sensor_error,equal_bargaining,10,12.326548461083007,0.299,11.13117117425598,12.613701497970572,0,0.9991739900538184,0.9969456077537651
surrogate,robustness,S12_sensor_error,fixed_time,10,12.326548461083007,0.299,11.13117117425598,12.613701497970572,0,0.9991739900538184,0.9969456077537651
surrogate,robustness,S4_tail_wait,efficiency,10,9.652062833813233,0.727,14.76734239645586,9.10650887584473,0.1,0.997319556753519,0.9969707320935853
surrogate,robustness,S4_tail_wait,efpb,10,9.394840684292348,0.54,14.665311935481267,8.829250769747354,0,0.9955989837214706,0.9973670647871756
surrogate,robustness,S4_tail_wait,equal_bargaining,10,10.014923708753669,0.5640000000000001,8.699324219530896,10.159330491972224,0,0.9981132075471698,0.9969858890134422
surrogate,robustness,S4_tail_wait,fixed_time,10,12.370105590263112,0.29,10.852314930315487,12.52956208201993,0,0.9981132075471698,0.9967019037147475
surrogate,robustness,S5_ns_wait,efficiency,10,10.46490036310446,0.645,11.261570159194491,10.274503558718884,0,0.9967503198586742,0.9971918509664098
surrogate,robustness,S5_ns_wait,efpb,10,10.470664708511979,0.541,12.395540279466422,10.004812089056164,0,0.9959781345263632,0.9966943019867511
surrogate,robustness,S5_ns_wait,equal_bargaining,10,10.670305706996665,0.582,7.831408236270871,11.3674751154577,0,0.9988638834529245,0.996163596650962
surrogate,robustness,S5_ns_wait,fixed_time,10,12.326548461083007,0.299,11.13117117425598,12.613701497970572,0,0.9991739900538184,0.9969456077537651
surrogate,robustness,S6_conflict,efficiency,10,11.956532087090492,0.652,13.809446566022762,11.495331312958838,0,0.9955085888745389,0.9966638236713667
surrogate,robustness,S6_conflict,efpb,10,12.143870218871399,0.548,16.187197620806295,11.143216301720244,0,0.997045248079927,0.996414565597787
surrogate,robustness,S6_conflict,equal_bargaining,10,12.356034877253016,0.657,11.343506138620508,12.614335074232859,0,0.9977819144480463,0.9968139029808345
surrogate,robustness,S6_conflict,fixed_time,10,12.944788196207968,0.325,11.609977006749775,13.27065321876776,0,0.9984925368215372,0.9962415790789745
surrogate,robustness,S7_emergency,efficiency,10,10.4668812700257,0.645,11.264544136889658,10.276214085034672,0,0.9967503198586742,0.9971918509664098
surrogate,robustness,S7_emergency,efpb,10,10.470664708511979,0.541,12.395540279466422,10.004812089056164,0,0.9959781345263632,0.9966943019867511
surrogate,robustness,S7_emergency,equal_bargaining,10,10.670704567395525,0.582,7.831835586698221,11.367867272320444,0,0.9988638834529245,0.996163596650962
surrogate,robustness,S7_emergency,fixed_time,10,12.326548461083007,0.299,11.13117117425598,12.613701497970572,0,0.9991739900538184,0.9969456077537651
surrogate,robustness,S8_repeated_imbalance,efficiency,10,13.266945514384458,0.5720000000000001,15.814693487445922,12.634678140974541,0,0.9852718990576046,0.9935546640423144
surrogate,robustness,S8_repeated_imbalance,efpb,10,14.238714898895003,0.564,21.33085106591533,12.473190776161363,0,0.9858954439715176,0.9922318092110761
surrogate,robustness,S8_repeated_imbalance,equal_bargaining,10,14.116453415372629,0.771,18.626285099284125,12.994030553114362,0.3,0.9871925262860417,0.9937730152919848
surrogate,robustness,S8_repeated_imbalance,fixed_time,10,14.067442887588712,0.469,12.58493322087281,14.434948790271976,0,0.9940194206640178,0.9914121847454072
surrogate,robustness,S9_saturation,efficiency,10,12.753408114234427,0.638,14.715121714951124,12.246849378897336,0,0.9952512241237821,0.996700375334083
surrogate,robustness,S9_saturation,efpb,10,13.371217856774678,0.551,18.63305264699607,12.009013528726072,0,0.9957281848255243,0.9969608856474457
surrogate,robustness,S9_saturation,equal_bargaining,10,13.63017310429011,0.929,16.114945243471382,12.990782183961752,1.9,0.9941803796389034,0.996284388408718
surrogate,robustness,S9_saturation,fixed_time,10,13.325171180845636,0.4,12.0036933954638,13.66668910868077,0,0.9985450004328751,0.9961489718240906
surrogate,stress,T_HS,efficiency,30,13.932307225252956,0.9410000000000001,24.223531034916782,12.626444062351476,0.5,0.9923282105615922,0.9963515493697834
surrogate,stress,T_HS,efpb,30,14.28866881796375,0.5656666666666667,24.99503636368665,12.928062062808488,0,0.9919288896718288,0.9966056345732832
surrogate,stress,T_HS,equal_bargaining,30,15.612314786759848,1.417,29.089555375330168,13.899451302286183,11.7,0.9932431899699431,0.9959981214850742
surrogate,stress,T_HS,fixed_time,30,16.581022027701692,0.636,11.616940922805686,17.21232520038257,0,0.998302685159667,0.994683595335088
surrogate,stress,T_OO,efficiency,30,101.47103223662559,3.992,61.11819763474987,112.10267085841079,1159.6666666666667,0.9825483164532975,0.9547692563460716
surrogate,stress,T_OO,efpb,30,136.73016668649407,5.806666666666667,72.17547382276224,153.69513680864247,1585.9666666666667,0.9735910435509627,0.9313416930091389
surrogate,stress,T_OO,equal_bargaining,30,217.08145112033145,20.770666666666667,863.65229320755,47.26619588935184,1399.9,0.4400299590215189,0.9908844755783689
surrogate,stress,T_OO,fixed_time,30,130.05275731234312,4.417333333333334,246.6325617784162,99.32776056292121,2300.233333333333,0.8860454448684444,0.9596594765465378
surrogate,stress,T_SH,efficiency,30,12.55445445694101,0.605,11.546199341361957,13.07191523940655,0,0.9966319540367725,0.99653623498864
surrogate,stress,T_SH,efpb,30,13.446847273204641,0.5426666666666667,14.896592304776917,12.7065208827497,0,0.9951173883053633,0.9969493093869067
surrogate,stress,T_SH,equal_bargaining,30,13.263161894352749,0.718,13.317198229049488,13.240376864720604,0,0.9962434265664487,0.9965054598344555
surrogate,stress,T_SH,fixed_time,30,14.238113630875521,0.5163333333333333,16.575860225636873,13.029854662535794,0,0.9968549572262514,0.9967238873754253
surrogate,stress,T_SS,efficiency,30,16.311980298373534,0.657,20.665017921721674,15.177236645619654,0,0.9948837830280757,0.9959809103940183
surrogate,stress,T_SS,efpb,30,18.053623725064902,0.574,25.039299384286668,16.22887183162936,0,0.9941719722412498,0.9954967738741612
surrogate,stress,T_SS,equal_bargaining,30,22.343504433853987,1.467,36.74371490568871,18.580462044112505,34.766666666666666,0.9908290982457593,0.9946329468951831
surrogate,stress,T_SS,fixed_time,30,17.138766617816593,0.6456666666666666,16.788015428599724,17.227773682059617,0,0.9978649008885064,0.9948889619638717
